bootstrap_index,mean_setting_tv_vs_ideal,raw_energy_hartree,projected_energy_hartree,raw_energy_error_millihartree,projected_energy_error_millihartree,raw_gamma_frobenius_error,projected_gamma_frobenius_error,raw_idempotency_frobenius,one_spin_slater_fidelity,full_rhf_determinant_fidelity
113,0.020739187744823327,-1.9377186596345377,-1.9460236160579638,9.022966821771394,0.7180103983452923,0.034314447752842404,0.030705631205438094,0.015602550112081063,0.9995285824749033,0.9990573871842895
114,0.020667028405940688,-1.9463073156909239,-1.9452411995787215,0.4343107653852485,1.5004268775875573,0.05310389387666393,0.04580276029841551,0.02635632662189472,0.9989512301884798,0.9979035602950771
115,0.016726022094505254,-1.9410503980120477,-1.946243844563653,5.691228444261398,0.49778189265614614,0.030673381699641653,0.027378095103851308,0.013747803933719778,0.9996252321405644,0.9992506047320773
116,0.01963867028074105,-1.9632803094317575,-1.9462077820377741,-16.53868297544836,0.53384441853499,0.03721252405161047,0.029881908667177368,0.022005673200336234,0.9995535580461004,0.9991073154026189
117,0.014249180900085163,-1.9343953357092072,-1.9464470541516705,12.346290747101918,0.2945723046385851,0.025472789926432288,0.022678967526165973,0.01166928345058085,0.9997428355484633,0.9994857372304818
118,0.019905492374210115,-1.952312323596496,-1.945070651917695,-5.5706971401869865,1.6709745386140895,0.055110016515301424,0.053569293766350154,0.011294911564505555,0.9985651914669443,0.9971324416094152
119,0.027592785958206856,-1.9462170704617898,-1.946299017992364,0.5245559945192824,0.44260846394506004,0.030525651205879353,0.022866110262588238,0.020167645133976352,0.9997385723300519,0.9994772130045304
120,0.017465297415982982,-1.9705365910840953,-1.9458872945306414,-23.794964627786186,0.8543319256677506,0.03649355120578509,0.03236567926025194,0.016488177741945883,0.9994762872151853,0.9989528487054516
121,0.02375366895751086,-1.952769627074,-1.9460977165021596,-6.028000617690932,0.6439099541495352,0.0422382342197904,0.02756577533335857,0.03245462706610567,0.9996200720483882,0.9992402884420248
122,0.025460926766907956,-1.9281918091102017,-1.9456898817066295,18.54981734610739,1.0517447496796173,0.04613047136206253,0.04446920400388077,0.012778900969958198,0.9990112739144448,0.9980235254081619
123,0.02142556116306539,-1.9315660074967613,-1.9462776856890904,15.175618959547776,0.4639407672186735,0.031167206689848036,0.027077199029088356,0.01576202576606187,0.9996334133271702,0.999266961040129
124,0.023735193699857472,-1.931348845575984,-1.9433668535039221,15.392780880325141,3.374772952386973,0.07174634292363848,0.06557944098168489,0.029014511304690235,0.9978496689659972,0.9957039618555503
125,0.020786977609700278,-1.9847498491415825,-1.9447024372497894,-38.008222685273374,2.039189206519687,0.06641969180670976,0.05956657891510549,0.028071494473932146,0.9982261263989836,0.9964553994255195
126,0.014440189859925364,-1.9462435086159149,-1.946227540160194,0.4981178403942188,0.5140862961150461,0.035658608644264886,0.02779487827308896,0.022412717438989874,0.9996137535759169,0.9992276563381338
127,0.02023965437552627,-1.97712971700815,-1.9458674555157642,-30.388090551840996,0.8741709405448717,0.04658231633428781,0.04071821865919203,0.022093404066598706,0.9991711287999158,0.9983429446272979
128,0.021558636121022302,-1.9479843083630255,-1.9452334024696343,-1.242681906716392,1.5082239866748282,0.053411557191563146,0.050948178203744365,0.016067894168185215,0.9987023924189183,0.9974064686232712
129,0.014369973937195914,-1.9502532842743319,-1.9466163033761175,-3.511657818022762,0.12532308019164162,0.01624422096099277,0.013345807411453189,0.009257041157951099,0.9999109451821646,0.9998218982950898
130,0.02272752238888369,-1.9340853331467514,-1.9451012583219083,12.656293309557753,1.640368134400827,0.046538631715528966,0.04531526066871017,0.010779074554431828,0.9989732698220851,0.9979475938190285
131,0.018578067234749758,-1.9364256882605744,-1.9464556678395686,10.31593819573473,0.2859586167405226,0.02816661873718791,0.02008955424262333,0.019465090450599038,0.9997982064759958,0.999596453672618
132,0.016589229936625906,-1.9456910712752469,-1.9457774997138488,1.0505551810622293,0.9641267424602695,0.035858771839661525,0.03547548169689041,0.005184141708132594,0.9993707466741594,0.9987418893080668
133,0.02555211465753058,-1.9386017139247913,-1.9432109685123342,8.139912531517801,3.530657943974891,0.07610577856597324,0.0757338088349758,0.007618758314187566,0.9971327034299642,0.9942736282495489
134,0.01940635382025869,-1.942952480673165,-1.9449261562994777,3.7891457831440434,1.815470156831367,0.05134570749903991,0.05135024011888135,0.0023382857502880004,0.9986815773223343,0.9973648928830257
135,0.02594348486166572,-1.9623437824024677,-1.9451222437194218,-15.602155946158547,1.6193827368873315,0.05178047967498417,0.049521639980288024,0.015064446156430667,0.9987738043203197,0.9975491121964842
136,0.028047099463325488,-1.9507948068280052,-1.9456868133759737,-4.053180371696108,1.0548130803353928,0.04419177978804181,0.043737802230555456,0.00564415644715844,0.9990435321043589,0.9980879790395533
137,0.022336043998051208,-1.9370288952112127,-1.9457873501812728,9.712731245096418,0.9542762750363032,0.040012673746958625,0.039032002033212665,0.009365272339873446,0.9992382863849235,0.9984771529774784
138,0.016608546342620833,-1.9377251464934833,-1.946404948769257,9.01647996282584,0.33667768705214485,0.022163046907826014,0.02096667109064589,0.007317231921976999,0.9997802008747805,0.9995604500612164
